
AR49376S,-35.696325,-63.757558,GPI,GENERAL PICO
AR35895,-35.971136,-62.772281,STQL,NANCO LAUQUEN
AR28505,-35.844592,-61.857553,SAZP,COMODORO P ZANNI
AR28505S,-35.844592,-61.857553,PEH,COMODORO P ZANNI
AR63145,-35.604325,-59.816669,SSDL,SALADILLO
AS98392,-35.713889,137.521389,YKSC,KINGSCOTE
AS82612,-35.715278,142.359722,YHPN,HOPETOUN
AS00052,-35.999722,142.917500,YBIR,BIRCHIP
AS35471,-35.375833,143.532778,YSWH,SWAN HILL
AS99905,-35.751389,143.939444,YKER,KERANG
AS62283,-35.559444,144.946389,YDLQ,DENILIQUIN
AS23849,-35.810833,145.604167,YTOC,TOCUMWAL
AS85241,-35.994722,146.356667,YCOR,COROWA
AS21460,-35.165278,147.466389,YSWG,WAGGA WAGGA
AS99903,-35.262778,148.240833,YTMU,TUMUT
AS98836,-35.306944,149.195000,YSCB,CANBERRA
AS96953,-35.897778,150.144444,YMRY,MORUYA
AS52621,-35.147222,150.697222,YJBY,JERVIS BAY
NZ56054,-35.069514,173.285731,NZKT,KAITAIA
NZ74309,-35.257594,173.912133,NZKK,KERIKERI
NZ75233,-35.769144,174.363839,NZWR,WHANGAREI
CI10542,-34.173242,-70.775669,SCRG,DE LA INDEPENDENCIA
AR83516,-34.587894,-68.403372,SAMR,SAN RAFAEL
AR83516S,-34.587894,-68.403372,SRA,SAN RAFAEL
AR00557,-34.001150,-65.366581,SERT,ESTANCIA DON ROBERTO
AR99886,-34.135425,-63.362292,SAOL,LABOULAYE
AR99886S,-34.135425,-63.362292,LYE,LABOULAYE
AR13909,-34.545861,-60.930528,SAAJ,JUNIN
AR13909S,-34.545861,-60.930528,NIN,JUNIN
AR60988,-34.560456,-58.789317,SADJ,MARIANO MORENO
AR60988S,-34.560456,-58.789317,ENO,MARIANO MORENO
AR53303,-34.534350,-58.671956,SADO,CAMPO DE MAYO
AR53303S,-34.534350,-58.671956,CPO,CAMPO DE MAYO
AR20031,-34.676428,-58.642839,SADM,MORON
AR20031S,-34.676428,-58.642839,MOR,MORON
AR49061,-34.609903,-58.612597,SADP,EL PALOMAR
AR49061S,-34.609903,-58.612597,PAL,EL PALOMAR
AR60215,-34.454008,-58.590242,SADF,SAN FERNANDO
AR60215S,-34.454008,-58.590242,FDO,SAN FERNANDO
AR80200,-34.823494,-58.528639,SAEZ,MINISTRO PISTARINI
AR80200S,-34.823494,-58.528639,EZE,MINISTRO PISTARINI
AR58399,-34.559219,-58.415794,SABE,AEROPARQUE JORGE NEWBERY
AR58399S,-34.559219,-58.415794,AER,AEROPARQUE JORGE NEWBERY
AR99487,-34.182281,-58.246958,SMGI,ISLA MARTIN GARCIA
AR46542,-34.969242,-57.892997,SADL,LA PLATA
AR46542S,-34.969242,-57.892997,PTA,LA PLATA
UY98344,-34.789019,-56.264936,SUAA,ANGEL S ADAMI
UY26311,-34.838367,-56.030736,SUMU,CARRASCO INTL
UY71911,-34.855197,-55.094050,SULS,CAPITAN CORBETA C A CURBELO IN
SF74362,-34.554583,20.250681,FAOB,OVERBERG
SF00241,-34.047297,20.474361,FASX,HENDRIK SWELLENGREBEL
SF00058,-34.158739,22.055700,FAMO,MOSSEL BAY
SF97626,-34.005533,22.378517,FAGG,GEORGE
SF27696,-34.088219,23.329294,FAPG,PLETTENBERG BAY
AS00008,-34.265278,116.140278,YMJM,MANJIMUP
AS00073,-34.945833,117.397222,YDEK,DENMARK
AS11710,-34.943333,117.808889,YABA,ALBANY
AS79367,-34.605278,135.880278,YPLC,PORT LINCOLN
AS00035,-34.361111,136.095000,YTBB,TUMBY BAY
AS51890,-34.945000,138.530556,YPAD,ADELAIDE INTL
AS49837,-34.702500,138.620833,YPED,EDINBURGH
AS55383,-34.793333,138.633056,YPPF,ADELAIDE PARAFIELD
AS99915,-34.183889,140.030556,YWKI,WAIKERIE
AS58031,-34.196389,140.673889,YREN,RENMARK
AS63151,-34.229167,142.085556,YMIA,MILDURA
AS99910,-34.650556,142.782778,YROI,ROBINVALE
AS59361,-34.623611,143.578333,YBRN,BALRANALD
AS83910,-34.531389,144.829722,YHAY,HAY
AS59282,-34.250833,146.067222,YGTH,GRIFFITH
AS66054,-34.702222,146.512222,YNAR,NARRANDERA
AS92844,-34.421389,147.511667,YTEM,TEMORA
AS50389,-34.623889,148.028056,YCTM,COOTAMUNDRA
AS16530,-34.255556,148.248056,YYNG,YOUNG
AS01863,-34.810278,149.726389,YGLB,GOULBURN
AS83442,-34.948889,150.536944,YSNW,NOWRA
AS45974,-34.040278,150.687222,YSCN,CAMDEN
AS78207,-34.561111,150.788611,YWOL,WOLLONGONG
CI98082,-33.666008,-78.929569,SCIR,ROBINSON CRUSOE
CI48882,-33.391017,-70.794367,SCEL,ARTURO MERINO BENITEZ INTL
CI90909,-33.561872,-70.688344,SCBQ,EL BOSQUE
CI09781,-33.456203,-70.546692,SCTB,EULOGIO SANCHEZ
AR73997,-33.273192,-66.356422,SAOU,SAN LUIS
AR73997S,-33.273192,-66.356422,UIS,SAN LUIS
AR17474,-33.725100,-65.378153,SAOR,VILLA REYNOLDS
AR17474S,-33.725100,-65.378153,RYD,VILLA REYNOLDS
AR08294,-33.160747,-64.338139,SCUA,RIO CUARTO AEROCLUB
AR33085,-33.085403,-64.261492,SAOC,RIO CUARTO AREA DE MATERIAL
AR33085S,-33.085403,-64.261492,TRC,RIO CUARTO AREA DE MATERIAL
AR46954,-33.679617,-61.955025,SVNO,VENADO TUERTO
AR73651,-33.919964,-60.648361,SAAN,PERGAMINO
AR73651S,-33.919964,-60.648361,PER,PERGAMINO
AR44994,-33.390675,-60.195767,SSNY,SAN NICOLAS DE LOS ARROYOS
AR77408,-33.005517,-58.612772,SAAG,GUALEGUAYCHU
AR77408S,-33.005517,-58.612772,GUA,GUALEGUAYCHU
UY85157,-33.358997,-56.499258,SUDU,SANTA BERNARDINA INTL
UY00032,-33.755033,-54.148947,SU01,SIERRA MARINA S A
SF66748,-33.901378,18.498131,FAYP,YSTERPLAAT
SF67604,-33.964814,18.601575,FACT,CAPE TOWN INTL
SF57090,-33.811453,19.901478,FARS,ROBERTSON
SF74093,-33.607006,22.188972,FAOH,OUDTSHOORN
SF86765,-33.984919,25.617275,FAPE,PORT ELIZABETH INTL
SF37497,-33.285122,26.498453,FAGT,GRAHAMSTOWN
SF32045,-33.035569,27.825939,FAEL,EAST LONDON
AS00007,-33.930556,115.100000,YMGT,MARGARET RIVER
AS99920,-33.692500,115.395278,YBLN,BUSSELTON
AS99923,-33.378333,115.676667,YBUN,BUNBURY
AS00045,-33.797222,120.208056,YNRV,RAVENSTHORPE
AS46891,-33.684444,121.822778,YESP,ESPERANCE
AS69721,-33.043333,135.447222,YWUD,WUDINNA
AS99913,-33.099722,136.459722,YIMB,KIMBA
AS38830,-33.709722,136.504722,YCEE,CLEVE
AS37664,-33.058889,137.514444,YWHA,WHYALLA
AS24555,-33.238889,137.995000,YPIR,PORT PIRIE
AS90598,-33.493333,145.523333,YHLS,HILLSTON
AS56752,-33.937222,147.191389,YWWL,WEST WYALONG
